Subject,Unit,Lesson,Title,Language,EN URL,FIL URL
Algebra,Unit 3 — Linear Equations,Lesson 1,One-Step Equations,EN + FIL,https://www.youtube.com/watch?v=8FiLIEU48IQ,https://www.youtube.com/watch?v=DNzB3Psf19E
Algebra,Unit 3 — Linear Equations,Lesson 2,Multi-Step Equations,EN + FIL,https://www.youtube.com/watch?v=A2btQVNRFIU,https://www.youtube.com/watch?v=DNzB3Psf19E
Algebra,Unit 3 — Linear Equations,Lesson 4,Equations with Fractions and Decimals,EN + FIL,https://www.youtube.com/watch?v=A2btQVNRFIU,https://www.youtube.com/watch?v=zumQq2UQWvM
Algebra,Unit 3 — Linear Equations,Lesson 6,Word Problems — Setting Up Equations,EN + FIL,https://www.youtube.com/watch?v=dqlP1bqcBJ8,https://www.youtube.com/watch?v=Ktp95pPYUdw
Algebra,Unit 4 — Linear Inequalities & Absolute Value,Lesson 4,Absolute Value Equations,EN + FIL,https://www.youtube.com/watch?v=nY_WeBeXAsQ,https://www.youtube.com/watch?v=ijdhB-lpu6c
Algebra,Unit 4 — Linear Inequalities & Absolute Value,Lesson 5,Absolute Value Inequalities,EN + FIL,https://www.youtube.com/watch?v=nY_WeBeXAsQ,https://www.youtube.com/watch?v=V4AzzQBlMTA
Algebra,"Unit 11 — Sequences, Series & Counting",Lesson 5,Permutations,EN + FIL,https://www.youtube.com/watch?v=kUZvAP9W76M,https://www.youtube.com/watch?v=VGMuMi1F28M
Pre-Algebra,Unit 1 — Number Sense,Lesson 1,The Number Line,EN + FIL,https://www.youtube.com/watch?v=jgKKaNiylGw,https://www.youtube.com/watch?v=O2kjG2LA4jo
Pre-Algebra,Unit 1 — Number Sense,Lesson 2,Absolute Value,EN + FIL,https://www.youtube.com/watch?v=jgKKaNiylGw,https://www.youtube.com/watch?v=Hk09Hazc1bU
Pre-Algebra,"Unit 2 — Fractions, Percent & Ratios",Lesson 1,Prime Factorization,EN + FIL,https://www.youtube.com/watch?v=Ry7KgcysvpI,https://www.youtube.com/watch?v=CKxn_9Hafr4
Pre-Algebra,"Unit 2 — Fractions, Percent & Ratios",Lesson 2,Percent and Decimals,EN + FIL,https://www.youtube.com/watch?v=aQCVdczqeCY,https://www.youtube.com/watch?v=fdwpC3MJnPk
Pre-Algebra,"Unit 2 — Fractions, Percent & Ratios",Lesson 3,Ratio and Proportion,EN + FIL,https://www.youtube.com/watch?v=4JhPTVF7JDw,https://www.youtube.com/watch?v=BrLb-jZRmio
Pre-Algebra,Unit 3 — Roots & Exponents,Lesson 1,Square Roots,EN + FIL,https://www.youtube.com/watch?v=44vfTjoXQJM,https://www.youtube.com/watch?v=Id6mM3QUKp8
Pre-Algebra,Unit 3 — Roots & Exponents,Lesson 3,Scientific Notation,EN + FIL,https://www.youtube.com/watch?v=FBlzd8a1mBo,https://www.youtube.com/watch?v=JtGR0Le7rjs
Pre-Algebra,Unit 4 — Variation,Lesson 1,Direct Variation,EN + FIL,https://www.youtube.com/watch?v=7N7afYls81w,https://www.youtube.com/watch?v=vHvAuX6k4Gs
Pre-Algebra,Unit 4 — Variation,Lesson 2,Inverse Variation,EN + FIL,https://www.youtube.com/watch?v=EVeFMrDZ1BU,https://www.youtube.com/watch?v=1FyLXwZKVQg
Pre-Algebra,Unit 4 — Variation,Lesson 3,Joint Variation,EN + FIL,https://www.youtube.com/watch?v=bAzfn5Dm_Co,https://www.youtube.com/watch?v=kPkpywEVDBM
Geometry,Unit 1 — Foundations of Geometry,Lesson 1,"Naming Points, Lines, and Planes",EN + FIL,https://www.youtube.com/watch?v=pRwYhD6wA8Q,https://www.youtube.com/watch?v=GZdadgNwKjQ
