subject,category,title,language,video_id,url
algebra,Algebra,Lesson on Multiplying and Dividing Rational Expressions,English,-PyfYtyo98E,https://www.youtube.com/watch?v=-PyfYtyo98E
algebra,Algebra,ALGEBRA: Division of Complex Numbers,English,-aCm7PdrVhk,https://www.youtube.com/watch?v=-aCm7PdrVhk
algebra,Algebra,IMAGINARY NUMBERS: CALCULATING NUMBERS THAT DON'T EXIST | Paano Gumaling sa Math,Filipino,-oSF3N8Knw4,https://www.youtube.com/watch?v=-oSF3N8Knw4
algebra,Algebra,PAANO MAG CONVERT NG TIME AT TEMPERATURE GAMIT ANG CONVERSION FACTOR | ALGEBRA,Filipino,-suoDttgtZY,https://www.youtube.com/watch?v=-suoDttgtZY
algebra,Algebra,HOW TO WRITE THE EQUATION OF THE QUADRATIC FUNCTION GIVEN ITS VERTEX | ALGEBRA,English,01BAcSx_yvM,https://www.youtube.com/watch?v=01BAcSx_yvM
algebra,Algebra,HOW TO TRANSLATE VERBAL EXPRESSIONS TO NUMERICAL OR ALGEBRAIC EXPRESSIONS,English,0Faqpx6g7LQ,https://www.youtube.com/watch?v=0Faqpx6g7LQ
algebra,Algebra,SOLVING PROBLEMS INVOLVING KITE USING ITS PROPERTIES | GEOMETRY,English,0HjgzJg1WvA,https://www.youtube.com/watch?v=0HjgzJg1WvA
algebra,Algebra,HOW DO YOU SEE THE IMAGINARY NUMBERS? | MATH TEACHING TIPS,English,0MNpsUug8d0,https://www.youtube.com/watch?v=0MNpsUug8d0
algebra,Algebra,Simplifying Square Roots | Paano Gumaling Sa Math?| EP7,Filipino,0NUQRyp6ndk,https://www.youtube.com/watch?v=0NUQRyp6ndk
algebra,Algebra,Describing the Domain and Range in Filipino | ALGEBRA| PAANO?,Filipino,0NVqydqyzV4,https://www.youtube.com/watch?v=0NVqydqyzV4
algebra,Algebra,MGA CONDITIONS TO CLASSIFY NA ANG QUADRILATERAL AY ISANG PARALLELOGRAM | GEOMETRY,Filipino,0YLe7WWemZI,https://www.youtube.com/watch?v=0YLe7WWemZI
algebra,Algebra,FINDING YOUR COMPLICATED X | Paano Gumaling Sa Math,Filipino,14IUXOGtE5M,https://www.youtube.com/watch?v=14IUXOGtE5M
algebra,Algebra,PAANO MAG-DESCRIBE NG SOLUTION NG LINEAR SYSTEM,Filipino,1ASw5FSEYa4,https://www.youtube.com/watch?v=1ASw5FSEYa4
algebra,Algebra,PAANO MAG-SOLVE NG MGA WORD PROBLEMS ON INVERSE VARIATION | ALGEBRA,Filipino,1FyLXwZKVQg,https://www.youtube.com/watch?v=1FyLXwZKVQg
algebra,Algebra,Matrix Operations | Algebra,English,27wlERirsqo,https://www.youtube.com/watch?v=27wlERirsqo
algebra,Algebra,Lesson on How to : Graph Logarithmic Functions| ALGEBRA,English,2L8CWYjl3lA,https://www.youtube.com/watch?v=2L8CWYjl3lA
algebra,Algebra,Mastering Linear Algebra: Convert Linear Systems to Augmented Matrices,English,2NaKeGsQ_nk,https://www.youtube.com/watch?v=2NaKeGsQ_nk
algebra,Algebra,PAG-PROVE NG CONGRUENCY NG TRIANGLES | GEOMETRY,Filipino,2u586kAGdSo,https://www.youtube.com/watch?v=2u586kAGdSo
algebra,Algebra,Factoring quadratics with the Butterfly Technique PART 2,English,34_1Cl3EFPk,https://www.youtube.com/watch?v=34_1Cl3EFPk
algebra,Algebra,DOMAIN AND RANGE: How far can you go? | Paano Gumaling sa Math,Filipino,3PhoHruuJPU,https://www.youtube.com/watch?v=3PhoHruuJPU
algebra,Algebra,PAG-PROVE NG TRIGONOMETRIC IDENTITIES (ADVANCE) | TRIGONOMETRY,English,3jR-6QZYRs8,https://www.youtube.com/watch?v=3jR-6QZYRs8
algebra,Algebra,Introduction to Linear Algebra: Matrix,English,3kMFcjJbXuk,https://www.youtube.com/watch?v=3kMFcjJbXuk
algebra,Algebra,ALGEBRA Writing an Equation of a Line Given Two Points,English,3mJWzS1d1k0,https://www.youtube.com/watch?v=3mJWzS1d1k0
algebra,Algebra,PAGSOLVE NG MGA RATIO AND PROPORTION PROBLEMS ON SIMILARITY | GEOMETRY,Filipino,3oMkVfXcWYg,https://www.youtube.com/watch?v=3oMkVfXcWYg
algebra,Algebra,Lesson on Adding and Subtracting Rational Expressions,English,43AQre6sIRU,https://www.youtube.com/watch?v=43AQre6sIRU
algebra,Algebra,HOW TO APPROXIMATE SQUARE ROOTS | ALGEBRA,English,44vfTjoXQJM,https://www.youtube.com/watch?v=44vfTjoXQJM
algebra,Algebra,ALGEBRA: Evaluating Ratio and Proportion,English,4JhPTVF7JDw,https://www.youtube.com/watch?v=4JhPTVF7JDw
algebra,Algebra,WEB APPLICATION TO USE IN SOLVING LINEAR SYSTEMS IN MATRIX FORM | MATH TEACHING TIPS,English,4K2CneBAiqI,https://www.youtube.com/watch?v=4K2CneBAiqI
algebra,Algebra,PAG-IDENTIFY NG SIMILARITY NG RIGHT TRIANGLES GIVEN ITS ALTITUDE | GEOMETRY,Filipino,4PtAydUdOhM,https://www.youtube.com/watch?v=4PtAydUdOhM
algebra,Algebra,SOLVING TRAPEZOID USING THE MIDSEGMENT OR MIDLINE THEOREM | GEOMETRY,English,4Y_CrIRop2Q,https://www.youtube.com/watch?v=4Y_CrIRop2Q
algebra,Algebra,LESSON ON Writing the Equation of a Line Given 2 Points in Filipino | ALGEBRA | PAANO?,Filipino,4hahbxxC0kk,https://www.youtube.com/watch?v=4hahbxxC0kk
