#,Title,Category,Language,Channel,Published,Status,Format,URL
1,CALCULUS: Lesson on Derivative of LN | Numberbender,Calculus,Filipino,Numberbender (Main),2026-05-21,unique,,https://www.youtube.com/watch?v=KukBYf772J8
2,CALCULUS: Lesson on Derivative of Exponential | Numberbender,Calculus,Filipino,Numberbender (Main),2026-05-20,unique,,https://www.youtube.com/watch?v=q2vbog0s8Xg
3,CALCULUS: Lesson on Derivative of A to the U | Numberbender,Calculus,Filipino,Numberbender (Main),2026-05-19,unique,,https://www.youtube.com/watch?v=9weeHMWit5k
4,CALCULUS: Lesson on Writing Quotation of a Tangent Line | Numberbender,Calculus,Filipino,Numberbender (Main),2026-05-18,unique,,https://www.youtube.com/watch?v=Cmgy0IYTXrs
5,CALCULUS: Lesson on Equation of a Tangent Line | Numberbender,Calculus,Filipino,Numberbender (Main),2026-05-15,unique,,https://www.youtube.com/watch?v=C-EFzRvA-qY
6,CALCULUS: Lesson on Quotient Rule | Numberbender,Calculus,Filipino,Numberbender (Main),2026-05-14,unique,,https://www.youtube.com/watch?v=_3gBqj3XWnk
7,ALGEBRA: Lesson on Matrix Arithmetic | Numberbender,Statistics,Filipino,Numberbender (Main),2026-05-12,unique,,https://www.youtube.com/watch?v=IuTE6qeW_wQ
8,ALGEBRA: Lesson on Law of Exponent (No Calculator) | Numberbender,Algebra,Filipino,Numberbender (Main),2026-05-11,unique,,https://www.youtube.com/watch?v=AA__Cltzpbo
9,ALGEBRA: Lesson on Law of Exponent | Numberbender,Calculus,Filipino,Numberbender (Main),2026-05-08,unique,,https://www.youtube.com/watch?v=SJUUbYL-RQM
10,ALGEBRA: Lesson on General to Standard of Conics | Numberbender,Statistics,Filipino,Numberbender (Main),2026-05-07,unique,,https://www.youtube.com/watch?v=BUSBEyj8b70
11,ALGEBRA: Lesson on Conic Ellipse | Numberbender,Algebra,Filipino,Numberbender (Main),2026-05-06,unique,,https://www.youtube.com/watch?v=NFz9qeAg_3w
12,ALGEBRA: Lesson on Conic Sections Ellipse | Numberbender,Statistics,Filipino,Numberbender (Main),2026-05-05,unique,,https://www.youtube.com/watch?v=pgmRiWYkZpE
13,CALCULUS: Lesson on the 1st and 2nd Derivative Test | Numberbender,Calculus,Filipino,Numberbender (Main),2026-05-04,unique,,https://www.youtube.com/watch?v=oYLaNbyJR-s
14,ALGEBRA: Lesson on Translating Verbal to Numerical Expressions | Numberbender,Statistics,Filipino,Numberbender (Main),2026-05-01,unique,,https://www.youtube.com/watch?v=ed4cmYOn8U4
15,ALGEBRA: Lesson on Point Slope Form | Numberbender,Algebra,Filipino,Numberbender (Main),2026-04-30,unique,,https://www.youtube.com/watch?v=FlSL-wHVpBc
16,ALGEBRA: Lesson on Literal Equation | Numberbender,Algebra,Filipino,Numberbender (Main),2026-04-29,unique,,https://www.youtube.com/watch?v=zumQq2UQWvM
17,ALGEBRA: Lesson on Linear Inequalities | Numberbender,Algebra,Filipino,Numberbender (Main),2026-04-28,unique,,https://www.youtube.com/watch?v=bv4XD6CKGF4
18,ALGEBRA: Lesson on Absolute Value Equation | Numberbender,Algebra,Filipino,Numberbender (Main),2026-04-27,unique,,https://www.youtube.com/watch?v=ijdhB-lpu6c
