channel,playlist,language,video_count,playlist_id
Numberbender,Elementary Algebra — Full College Course | Free | Numberbender,English/Bilingual,2,PLIQh59u-CUouMQ2ZDsWusTBHxuhHCmAeA
Numberbender,TILSI: Teach It Like You Stream It,English/Bilingual,6,PLIQh59u-CUov4XRKRgmrva1pTfa50znRo
Numberbender,Vertical Lessons,English/Bilingual,35,PLIQh59u-CUosW-znGdzmsJJCNPJxetp5W
Numberbender,Shorts - Quick math lessons,English/Bilingual,118,PLIQh59u-CUouK3spVL5adn_RyTpQXBRze
Numberbender,POLYGONS,English/Bilingual,4,PLIQh59u-CUoujMu3WAM27UYWFjOxjw3nZ
Numberbender,TRIANGLE CONGRUENCE,English/Bilingual,13,PLIQh59u-CUotUzO0uZgdDuQTbRfsxHUsS
Numberbender,REASONING - Geometery,Filipino,8,PLIQh59u-CUotiHc59AZfAtxpbfRqR-v6t
Numberbender,CIRCLES,English/Bilingual,4,PLIQh59u-CUou98aIX9ZGDtmBuSHfUUf3e
Numberbender,SIMILARITY (Geometry),English/Bilingual,6,PLIQh59u-CUovKx9xM34IOXnbvXuINzjKM
Numberbender,Quadrilaterals (Geometry),English/Bilingual,12,PLIQh59u-CUouSCKFu4bBHaRzFdPxsCtCv
Numberbender,Variation or Numerical Relationship,English/Bilingual,4,PLIQh59u-CUouB7vOBMyjzfz6OWjpbsFLf
Numberbender,Factoring Techniques - English,Filipino,11,PLIQh59u-CUosw9MLo2iRl8WxNTk9srixT
Numberbender,Factoring Techniques,Filipino,12,PLIQh59u-CUot6ZCveMvGd3BCMjYp9TJ_8
Numberbender,Numberbender LIVE - Teaching and Learning in Time of a Pandemic | every Monday at 9am (Manila time),Filipino,60,PLIQh59u-CUotw7gvVSzzP4ILwpr69Mp6c
Numberbender,How to Study Math Online,English/Bilingual,17,PLIQh59u-CUotyy-_nU8C3TonDkhUzp6sI
Numberbender,MATH IN A MINUTE,English/Bilingual,33,PLIQh59u-CUosK9LdsRV4Zl2R-LeCz7JH2
Numberbender,Logarithm and Exponents,English/Bilingual,10,PLIQh59u-CUovIqQw55o5rv5xUwm3WNbE9
Numberbender,DERIVATIVES OF TRANSCENDENTAL FUNCTIONS,English/Bilingual,8,PLIQh59u-CUovENeq1JAd0M3HmsGtC48PM
Numberbender,Implicit Differentiation (Filipino),Filipino,9,PLIQh59u-CUouHUSBMgmDaNonkns5ROLmI
Numberbender,PAANO MAG APPLY NG TEACHER SA AMERICA?,Filipino,7,PLIQh59u-CUot8uSzrAjfbQCxYUhpG-DaR
Numberbender,HOW TO START YOUR YOUTUBE CHANNEL #eduCreator #eduTuber,English/Bilingual,5,PLIQh59u-CUotWILL-b_GocurmpRhXLUPR
Numberbender,West Coast U WCU,English/Bilingual,5,PLIQh59u-CUouTVJwx6BjTX547lmcZG7nV
Numberbender,Math Class ni Dr. E,Filipino,47,PLIQh59u-CUotTbUxVhOF7BxbR3WLNBxjw
Numberbender,Teacher Resources for Flipped Classroom Videos,English/Bilingual,25,PLIQh59u-CUottdWwBJNNckoW2PaAvJE_D
Numberbender,"""Paano Magturo"" Videos",Filipino,23,PLIQh59u-CUosbfCdcJAbBU0IK0-D_Qqth
Numberbender,BCC,English/Bilingual,9,PLIQh59u-CUos7ZCoM3-0ZBNr9uoxgky1h
Numberbender,Differential Equations,English/Bilingual,3,PLIQh59u-CUou7h0QhNcnVDaYalrYpGnTZ
Numberbender,Applications of Integrals (Filipino),Filipino,11,PLIQh59u-CUovcT8op4VxbiHq7TI45NWCw
